table_size;sample_size;rf_accuracy;train_test_overfit;cv_overfit;best_rf;rf_cmatrix;discarded;rf_perm_importance;travel_mode;distance_threshold;trip_purpose;age_cohort;activity_cohort;schema
3331;245514.0;0.754;False;True;{'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100};"[[ 26  25]
 [303 979]]";False;{'Feature': {0: 'dem_household_size', 1: 'dem_att_card'}, 'Importance_Mean': {0: -0.004451112778194529, 1: -0.02128032008001998}, 'Importance_Std': {0: 0.005749045459563506, 1: 0.005822162112758055}};walking;600;Sport / Stroll;all_features_dem;;
3501;253705.0;0.736;False;True;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50};"[[ 34  34]
 [336 997]]";False;{'Feature': {0: 'des_building_age', 1: 'den_perc_housing_sfr'}, 'Importance_Mean': {0: 0.018010944563407058, 1: 0.011872472043778207}, 'Importance_Std': {0: 0.006885090947426158, 1: 0.005214256391887648}};walking;600;Shopping;purpose_combined_features_be;;
3501;253705.0;0.735;False;True;{'max_depth': 10, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100};"[[ 38  30]
 [341 992]]";False;{'Feature': {0: 'des_building_age', 1: 'des_mean_degree'}, 'Importance_Mean': {0: 0.03811563169164886, 1: 0.012372115155841102}, 'Importance_Std': {0: 0.007818154119369628, 1: 0.005505284832465454}};walking;600;Shopping;only_design;;
4738;338083.0;0.734;False;False;{'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50};"[[ 129   92]
 [ 413 1262]]";False;{'Feature': {2: 'dem_household_size', 0: 'dem_income', 1: 'dem_attitude'}, 'Importance_Mean': {2: 0.04629043600562583, 0: 0.029799578059071685, 1: 0.02941279887482414}, 'Importance_Std': {2: 0.005426227279340391, 0: 0.007194100560521468, 1: 0.00773919890588547}};walking;1200;Shopping;combined_features_dem;;
3501;253705.0;0.732;True;True;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 50};"[[ 41  27]
 [348 985]]";False;{'Feature': {3: 'dem_attitude', 7: 'dem_social', 4: 'dem_gender', 9: 'den_less_walkable', 8: 'den_land_use_walkable', 1: 'acc_green_areas', 15: 'des_mean_degree', 16: 'div_unpaired', 5: 'dem_household_size', 10: 'den_perc_housing_sfr', 2: 'acc_transportation', 14: 'des_building_age', 6: 'dem_income', 11: 'den_perc_unbuilt', 13: 'des_betweenness', 12: 'den_urban_form', 17: 'div_walkable', 0: 'acc_general'}, 'Importance_Mean': {3: 0.0028788960266476074, 7: -0.0011420413990007483, 4: -0.0011896264572924253, 9: -0.0014037592196050682, 8: -0.0025695931477516293, 1: -0.00347370925529387, 15: -0.0035212943135855546, 16: -0.0038305971924815995, 5: -0.004258862717106852, 10: -0.0053533190578158715, 2: -0.006114679990483015, 14: -0.006138472519628854, 6: -0.007518439210088057, 11: -0.008565310492505378, 13: -0.009635974304068547, 12: -0.013966214608612908, 17: -0.02562455389007854, 0: -0.03283369022127055}, 'Importance_Std': {3: 0.004623899148290351, 7: 0.002876437070608119, 4: 0.0011558370498682869, 9: 0.0029971976959224968, 8: 0.0023716270843449293, 1: 0.0017360396237882279, 15: 0.002751716829845536, 16: 0.0035664199631104876, 5: 0.002583325279628278, 10: 0.002853616076980147, 2: 0.0025382291164429732, 14: 0.0033152821219795993, 6: 0.0037892170452759363, 11: 0.0021571309934129137, 13: 0.003248791227925286, 12: 0.0032432106065259305, 17: 0.003631849888139487, 0: 0.004341729143681805}};walking;600;Shopping;combined_features_all;;
938;68582.0;0.731;False;True;{'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50};"[[  9  29]
 [ 72 266]]";False;{'Feature': {1: 'den_pop_total', 0: 'den_perc_housing_sfr'}, 'Importance_Mean': {1: 0.0815602836879433, 0: 0.06817375886524828}, 'Importance_Std': {1: 0.01696485180811742, 0: 0.018547023084270593}};walking;900;Leisure;only_density;;
5257;375554.0;0.731;False;False;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50};"[[ 102   64]
 [ 501 1436]]";False;{'Feature': {21: 'dem_household_size', 0: 'dem_activity_student', 17: 'dem_hou_structure_retiree', 16: 'dem_hou_structure_other', 6: 'dem_cohort_ages_13-18', 13: 'dem_gender', 14: 'dem_hou_size', 8: 'dem_cohort_ages_41-65', 12: 'dem_education', 22: 'dem_income', 19: 'dem_hou_structure_students_age6_12', 9: 'dem_cohort_ages_6-12', 1: 'dem_activity_unemployed', 10: 'dem_cohort_less_5', 15: 'dem_hou_structure_children', 7: 'dem_cohort_ages_19-40', 18: 'dem_hou_structure_students_age13_18', 5: 'dem_att_vehicle', 3: 'dem_att_card', 11: 'dem_cohort_more_65', 20: 'dem_hou_structure_worker', 4: 'dem_att_license', 2: 'dem_activity_worker'}, 'Importance_Mean': {21: 0.013678871453479206, 0: 0.009605325725154578, 17: 0.009098113805674475, 16: 0.008273894436519299, 6: 0.005183071802187393, 13: 0.004327151688064719, 14: 0.0028530670470756523, 8: 0.002361705500079299, 12: 0.0022190521477255163, 22: 0.0022190521477255124, 19: 0.001315580916151556, 9: 0.0011570771913140192, 1: 0.0005072119194801328, 10: 0.0, 15: 0.0, 7: -6.340148993497774e-05, 18: -0.00045966080202881253, 5: -0.0010461245839276767, 3: -0.0013789824060865153, 11: -0.0018227928356315925, 20: -0.0029481692819780746, 4: -0.006657156443176382, 2: -0.007624029164685327}, 'Importance_Std': {21: 0.006279248642314657, 0: 0.0027271854447935523, 17: 0.0027308678464773193, 16: 0.0031983208218355204, 6: 0.001407116761449733, 13: 0.002048380866879766, 14: 0.0013726825230376337, 8: 0.0009627062697137752, 12: 0.001630355475748791, 22: 0.004057819184986432, 19: 0.0008911518653904505, 9: 0.0007636195574858867, 1: 0.0011835888224818172, 10: 0.0, 15: 0.0, 7: 0.0010963142473159157, 18: 0.0010380481426554187, 5: 0.0021769896609147984, 3: 0.0028933334361356334, 11: 0.0024862864165725224, 20: 0.0019963920106303833, 4: 0.0018700752834049825, 2: 0.0015358512026320817}};walking;1200;Sport / Stroll;all_features_dem;;
3501;253705.0;0.722;True;True;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 50};"[[ 41  27]
 [362 971]]";False;{'Feature': {10: 'des_mean_degree', 9: 'des_building_age', 1: 'acc_green_areas', 3: 'den_land_use_walkable', 5: 'den_perc_housing_sfr', 4: 'den_less_walkable', 2: 'acc_transportation', 11: 'div_unpaired', 12: 'div_walkable', 6: 'den_perc_unbuilt', 8: 'des_betweenness', 0: 'acc_general', 7: 'den_urban_form'}, 'Importance_Mean': {10: 0.009207708779443302, 9: 0.006281227694503984, 1: 0.003521294313585588, 3: 0.0017130620985011207, 5: 2.3792529145890325e-05, 4: -0.0023792529145847657, 2: -0.002736140851772495, 11: -0.0034261241970021043, 12: -0.0038543897216273605, 6: -0.010444920295027315, 8: -0.012657625505591186, 0: -0.018177492267427993, 7: -0.021912919343326138}, 'Importance_Std': {10: 0.0031295090591085565, 9: 0.005131911206694004, 1: 0.0032964461122280343, 3: 0.002661787536701789, 5: 0.003655774557938556, 4: 0.0023768724708526476, 2: 0.0028555991321722084, 11: 0.0026477140600986945, 12: 0.0022161562735560332, 6: 0.00314646640318245, 8: 0.0026382900358085364, 0: 0.006618600951045981, 7: 0.0032456533090721115}};walking;600;Shopping;combined_features_be;;
5074;359623.0;0.722;False;False;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100};"[[ 172  123]
 [ 441 1294]]";False;{'Feature': {2: 'dem_household_size', 0: 'dem_income', 1: 'dem_attitude'}, 'Importance_Mean': {2: 0.05362889983579637, 0: 0.02812807881773398, 1: 0.027996715927750392}, 'Importance_Std': {2: 0.005474756276325886, 0: 0.005160828373244644, 1: 0.005519415671339398}};walking;1500;Shopping;combined_features_dem;;
3501;253705.0;0.722;False;True;{'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100};"[[ 41  27]
 [363 970]]";False;{'Feature': {11: 'des_building_age', 12: 'des_mean_degree', 8: 'den_perc_unbuilt', 1: 'acc_shopping_mall', 3: 'acc_transportation', 10: 'des_betweenness', 7: 'den_perc_shopping_market', 4: 'den_perc_housing_sfr', 6: 'den_perc_shopping_mall', 5: 'den_perc_shopping_alone', 9: 'den_pop_total', 13: 'div_wt_shopping', 2: 'acc_shopping_market', 0: 'acc_shopping_alone'}, 'Importance_Mean': {11: 0.009469426600047593, 12: 0.007899119676421602, 8: 0.002331667856293133, 1: -0.0017844396859385992, 3: -0.00228408279800143, 10: -0.0031168213181061036, 7: -0.003116821318106111, 4: -0.003235783963835337, 6: -0.003925767309064942, 5: -0.007708779443254824, 9: -0.007803949559838193, 13: -0.010088032357839631, 2: -0.010968355936236015, 0: -0.013038305971924813}, 'Importance_Std': {11: 0.005482410016937148, 12: 0.0021801020583307774, 8: 0.004120712190496736, 1: 0.005093213092697499, 3: 0.001490407781429051, 10: 0.0021052019156053824, 7: 0.0021212744373718655, 4: 0.003351623440959383, 6: 0.0020083206062495806, 5: 0.0017522676792312121, 9: 0.0028248055350284756, 13: 0.002504891208803587, 2: 0.005349299254771098, 0: 0.003311865361181126}};walking;600;Shopping;only_purpose_features_be;;
